id,x_25833,y_25833,d_k1_mean_m,d_k3_mean_m,d_k5_mean_m,d_k10_mean_m,rmse
LFU_37539423,471476.0,5789713.0,856.0005841119503,1485.884629285677,2027.1597113497496,3153.639388543914,3.7619832039306567
LFU_38404660,322831.0,5782914.0,4726.278028216283,8680.706420946715,10393.840156009826,12310.569294667084,3.0653763806754144
LFU_38413420,336797.0,5785402.0,0.0,937.8227740653111,1727.5762932208077,3997.1595571724583,2.3980635558440464
LFU_38413441,333203.0,5785364.0,5.0,1101.5541025421146,2282.627156104289,4286.0208787178035,3.870808629949578
LFU_38441727,366422.0,5775195.0,0.0,1591.958508131139,2844.75160769618,4239.642791536601,0.827556870803738
LFU_38451306,375438.0,5777959.0,3615.929894231911,4865.505983967975,5134.5618055782825,5759.672227026303,0.971703350116682
LFU_38471711,406303.0,5772888.0,2629.0747421859273,5659.919156870904,7228.407246590813,9701.792667513408,1.4912067681742982
LFU_38480325,415145.0,5774415.0,1532.2290218501332,4866.3587179535725,6513.503623030718,9690.852082510577,3.55350561019498
LFU_38501758,440446.27,5779474.3,2376.4554566833262,3932.8428571086783,5001.306615069885,9022.148780057798,10.725712376678695
LFU_38539085,471743.0,5773416.0,1578.31080589344,2991.5520106048643,3523.408213251202,4177.400764178528,13.254285575343149
LFU_38539092,473447.0,5778021.0,1360.8034391490933,2489.8814881796493,2794.975256388265,3283.624923832238,15.974628175891109
LFU_39423102,341048.0,5772838.0,4662.297824034839,4885.162301534555,6715.693199670376,9121.055707322754,10.64529853789545
LFU_39431452,359440.0,5773971.0,0.0,2298.1496905119125,3960.852435722547,6103.091565732194,0.698722843213832
LFU_39451179,378730.0,5772571.0,3297.8467217261627,3990.393472202846,4400.343586181823,5359.54896807628,0.17248513600379536
LFU_39451280,384592.0,5764749.0,4863.261868334873,5351.374975822059,6119.14076513236,8181.530204735161,3.9813597169362502
LFU_39549052,480942.0,5763162.0,530.7372231151684,3243.516151254959,4252.958975509377,6186.700999430123,3.8920637358079917
