split,feat,nRMSE_iqr,rmse_pw
rand,siwa_fuk,3.734787586721666,1.4478850707583664
rand,siwa_fuk,3.956400343572243,1.3926072271794365
rand,siwa_fuk,3.2051076962702694,1.3656362229435393
rand,siwa_fuk,2.7958493838651357,1.3983667577201615
rand,siwa_fuk,3.1644114975810584,1.2403936466978602
rand,siwa_fuk,4.102236257132084,1.5068712740293084
rand,siwa_fuk,3.4077822048872175,1.4320954843144729
rand,siwa_fuk,4.413090210550433,1.7752024709548777
rand,siwa_fuk,4.439788719232505,1.6380894546146267
rand,siwa_fuk,3.2259104364973465,1.2206307951467705
rand,siwa_fok_fuk,3.832934816129667,1.4453927349732132
rand,siwa_fok_fuk,3.9590720617656716,1.3908001584089535
rand,siwa_fok_fuk,3.193477819340387,1.3578431328011091
rand,siwa_fok_fuk,2.7861539338874786,1.4236394058025543
rand,siwa_fok_fuk,3.171983841012411,1.2010379717930535
rand,siwa_fok_fuk,4.147579567169844,1.5124857844602468
rand,siwa_fok_fuk,3.500832311627799,1.457033821754202
rand,siwa_fok_fuk,4.449427358991148,1.7672736779827498
rand,siwa_fok_fuk,4.515272860698945,1.6363050644176202
rand,siwa_fok_fuk,3.2691431639200346,1.2495028587788672
rand,best_fok,3.341729330467156,1.3942762716591526
rand,best_fok,3.459190672947987,1.3976384902287002
rand,best_fok,3.6330637117052156,1.5109167071846832
rand,best_fok,3.5787386193953434,1.231868360478273
rand,best_fok,3.094076242918968,1.2368402990421163
rand,best_fok,3.471028924723199,1.4302391552627474
rand,best_fok,3.414695243264098,1.4078020953098656
rand,best_fok,4.673802225651997,1.7044114277218205
rand,best_fok,3.956751185994607,1.5239175283184014
rand,best_fok,3.6573428332214313,1.4287483517384298
rand,best_fuk,3.3884053696229754,1.4025609952539302
rand,best_fuk,3.4475020638131566,1.4465005250050913
rand,best_fuk,3.5537478383220513,1.5784139684482494
rand,best_fuk,3.758438049321965,1.2385742525762375
rand,best_fuk,3.1133073508161293,1.1857194593402596
rand,best_fuk,3.525644858213878,1.3544921698870538
rand,best_fuk,3.3272798206233656,1.4142412116363035
rand,best_fuk,4.701510351743505,1.9029033449466213
rand,best_fuk,3.9760377048006106,1.5891176283308055
rand,best_fuk,3.4553828865940144,1.4260002054150773
rand,best_pr1lag,3.4114015499761394,1.3130850517569461
rand,best_pr1lag,4.167234271146851,1.5033412178651928
rand,best_pr1lag,3.6697599291893264,1.4376550715580283
rand,best_pr1lag,3.8190071008931934,1.4592749149547886
rand,best_pr1lag,3.8809401663064973,1.3970227911512816
rand,best_pr1lag,3.466917802541418,1.2638935826073168
rand,best_pr1lag,3.3354545795861252,1.4526651337833454
rand,best_pr1lag,5.589966343008491,2.143149219905567
rand,best_pr1lag,5.131816883939034,2.1340494259179303
rand,best_pr1lag,3.9641122335474606,1.37840956952526
rand,best_pr52lag,3.2952157214827746,1.3826716108646209
rand,best_pr52lag,4.651784782818265,1.730244940137204
rand,best_pr52lag,3.5886522722400356,1.6420185743159603
rand,best_pr52lag,4.327268489952054,1.6953130790908237
rand,best_pr52lag,3.523021070219614,1.3726833898285367
rand,best_pr52lag,3.6744472002056447,1.3746279147805085
rand,best_pr52lag,2.7724725809165873,1.2980846537215953
rand,best_pr52lag,5.202047437919047,2.352811624000542
rand,best_pr52lag,4.061804871909588,1.8127923051196633
rand,best_pr52lag,3.5431122200595597,1.4941348396886207
rand,best_pr52xcorr,3.731939461938947,1.5529938841518818
rand,best_pr52xcorr,4.206568928878797,2.0644906828722247
rand,best_pr52xcorr,3.8535968251827057,1.7197772404599014
rand,best_pr52xcorr,4.821347894988479,1.9999719318733757
rand,best_pr52xcorr,4.644549819719312,1.4600481650294177
rand,best_pr52xcorr,4.108020203553957,1.464626231613787
rand,best_pr52xcorr,4.168920779631673,1.8416419177289916
rand,best_pr52xcorr,4.085439207601649,1.8274341920639265
rand,best_pr52xcorr,5.618734644478984,1.8805626366142203
rand,best_pr52xcorr,4.315543064015155,1.4498560212991654
rand,best_pr_all,3.934738255434085,1.6237296951755438
rand,best_pr_all,4.516396374128271,2.2721480155727014
rand,best_pr_all,4.016364415494113,1.751775842650118
rand,best_pr_all,4.424217094498934,2.023821075154184
rand,best_pr_all,4.315396668073269,1.5768598818041835
rand,best_pr_all,4.083793045584999,1.4019137596047244
rand,best_pr_all,4.019555145901224,1.8787933989440742
rand,best_pr_all,4.498056430138846,1.9302696304012983
rand,best_pr_all,5.225037535549557,2.1815136830486512
rand,best_pr_all,4.19766137830387,1.5054202936609191
